Liliaceae,Subalpine Mariposa Lily (Calochortus subalpinus)
Liliaceae,Yellow Mariposa (Calochortus superbus)
Liliaceae,Callahan's Mariposa Lily (Calochortus syntrophus)
Liliaceae,Tiburon Mariposa Lily (Calochortus tiburonensis)
Liliaceae,Tolmie Star-tulip (Calochortus tolmiei)
Liliaceae,Oakland Mariposa Lily (Calochortus umbellatus)
Liliaceae,Umpqua Mariposa Lily (Calochortus umpquaensis)
Liliaceae,Monterey Mariposa Lily (Calochortus uniflorus)
Liliaceae,Butterfly Mariposa Lily (Calochortus venustus)
Liliaceae,Calochortus venustus
Liliaceae,Coast Range Mariposa Lily (Calochortus vestae)
Liliaceae,Calochortus watsonii
Liliaceae,Weed's Mariposa Lily (Calochortus weedii)
Liliaceae,Shirley Meadows Mariposa Lily (Calochortus westonii)
Liliaceae,Prairie Camas (Camassia angusta)
Liliaceae,Cusick's Camas (Camassia cusickii)
Liliaceae,Camassia esculenta
Liliaceae,Howell's Camas (Camassia howellii)
Liliaceae,Large Camas (Camassia leichtlinii)
Liliaceae,Suksdorf's Large Camas (Camassia leichtlinii)
Liliaceae,Camassia leichtlinii
Liliaceae,Camas (Camassia Lindl.)
Liliaceae,Small Camas (Camassia quamash)
Liliaceae,Camassia quamash
Liliaceae,Utah Small Camas (Camassia quamash)
Liliaceae,Walpole's Small Camas (Camassia quamash)
Liliaceae,Atlantic Camas (Camassia scilloides)
Liliaceae,Camassia suksdorfii
Liliaceae,Fairywand (Chamaelirium luteum)
Liliaceae,Chamaelirium obovale
Liliaceae,Chamaelirium (Chamaelirium Willd.)
Liliaceae,Chionodoxa (Chionodoxa Boiss.)
Liliaceae,Chionodoxa cretica
Liliaceae,Glory-of-the-snow (Chionodoxa forbesii)
Liliaceae,Chionodoxa luciliae
Liliaceae,Glory-of-the-snow (Chionodoxa sardensis)
Liliaceae,Narrowleaf Soap Plant (Chlorogalum angustifolium)
Liliaceae,Red Hills Soap Plant (Chlorogalum grandiflorum)
Liliaceae,Soapplant (Chlorogalum Kunth)
Liliaceae,Smallflower Soap Plant (Chlorogalum parviflorum)
Liliaceae,Wavyleaf Soap Plant (Chlorogalum pomeridianum)
Liliaceae,Purple Amole (Chlorogalum purpureum)
Liliaceae,Camatta Canyon Amole (Chlorogalum purpureum)
Liliaceae,Bracketplant (Chlorophytum capense)
Liliaceae,Spider Plant (Chlorophytum comosum)
Liliaceae,Chlorophytum (Chlorophytum Ker)
Liliaceae,Choretis galvestonensis
Liliaceae,Chrosperma muscitoxicum
Liliaceae,Clintonia alleghaniensis
Liliaceae,Andrew's Clintonia (Clintonia andrewsiana)
Liliaceae,Bluebead (Clintonia borealis)
Liliaceae,Bluebead (Clintonia Raf.)
Liliaceae,White Clintonia (Clintonia umbellulata)
Liliaceae,Bride's Bonnet (Clintonia uniflora)
Liliaceae,Kaffir-lily (Clivia Lindl.)
Liliaceae,Kaffir-lily (Clivia minata)
Liliaceae,Autumn Crocus (Colchicum autumnale)
Liliaceae,Colchicum (Colchicum L.)
Liliaceae,Showy Colchicum (Colchicum speciosum)
Liliaceae,Convallaria biflora
Liliaceae,Convallaria fruticosa
Liliaceae,Convallaria (Convallaria L.)
Liliaceae,European Lily Of The Valley (Convallaria majalis)
Liliaceae,Convallaria majalis
Liliaceae,American Lily-of-the-valley (Convallaria majuscula)
Liliaceae,Convallaria montana
Liliaceae,Convallaria pubescens
Liliaceae,Convallaria racemosa
Liliaceae,Convallaria stellata
Liliaceae,Convallaria trifolia
Liliaceae,Evening Rainlily (Cooperia drummondii)
Liliaceae,Rainlily (Cooperia Herb.)
Liliaceae,Jones' Rainlily (Cooperia jonesii)
Liliaceae,Prairie Lily (Cooperia pedunculata)
Liliaceae,Small's Rainlily (Cooperia smallii)
Liliaceae,Traub's Rainlily (Cooperia traubii)
Liliaceae,Cabbage Tree (Cordyline australis)
Liliaceae,Ti Ngahere (Cordyline banksii)
Liliaceae,Cordyline (Cordyline Comm.)
Liliaceae,Tiplant (Cordyline fruticosa)
Liliaceae,Cordyline terminalis
Liliaceae,Crinum amabile
Liliaceae,Seven Sisters (Crinum americanum)
Liliaceae,Poisonbulb (Crinum asiaticum)
Liliaceae,Hardy Swamplily (Crinum bulbispermum)
Liliaceae,Crinum floridanum
Liliaceae,Swamplily (Crinum L.)
Liliaceae,Crinum latifolium
Liliaceae,Crinum longifolium
Liliaceae,Pyjama Lily (Crinum macowanii)
Liliaceae,Crinum strictum
Liliaceae,Ceylon Swamplily (Crinum zeylanicum)
Liliaceae,Palm-grass (Curculigo capitulata)
Liliaceae,Curculigo (Curculigo Gaertn.)
Liliaceae,Curculigo orchioides
Liliaceae,Gorgojo (Curculigo scorzonerifolia)
Liliaceae,Cyclobothra caerulea
Liliaceae,Cyclobothra coerulea
Liliaceae,Cyclobothra monophylla
Liliaceae,Trans-Pecos Sotol (Dasylirion heteracanthum)
Liliaceae,Green Sotol (Dasylirion leiophyllum)
Liliaceae,Texas Sotol (Dasylirion texanum)
Liliaceae,Common Sotol (Dasylirion wheeleri)
Liliaceae,Sotol (Dasylirion Zucc.)
Liliaceae,Cerulean Flaxlily (Dianella caerulea)
Liliaceae,Dianella (Dianella Lam.)
Liliaceae,Dianella saffordiana
Liliaceae,'uki'uki (Dianella sandwicensis)
Liliaceae,Dichelostemma californicum
Liliaceae,Bluedicks (Dichelostemma capitatum)
Liliaceae,Ookow (Dichelostemma congestum)
Liliaceae,Firecracker Flower (Dichelostemma ida-maia)
Liliaceae,Snakelily (Dichelostemma Kunth)
Liliaceae,Dichelostemma lacuna-vernalis
Liliaceae,Roundtooth Snakelily (Dichelostemma multiflorum)
Liliaceae,Dichelostemma pulchellum
Liliaceae,Dichelostemma Ã—venustum
Liliaceae,Twining Snakelily (Dichelostemma volubile)
Liliaceae,Disporum hookeri
Liliaceae,Disporum lanuginosum
Liliaceae,Disporum maculatum
Liliaceae,Disporum oreganum
Liliaceae,Disporum parvifolium
Liliaceae,Disporum smithii
Liliaceae,Disporum trachyandrum
Liliaceae,Disporum trachycarpum
Liliaceae,Dracaena aurea
Liliaceae,Dracaena borealis
Liliaceae,Dracaena hawaiiensis
Liliaceae,Dracaena terminalis
Liliaceae,Chandler's Craglily (Echeandia chandleri)
Liliaceae,Torrey's Craglily (Echeandia flavescens)
Liliaceae,Echeandia (Echeandia Ortega)
Liliaceae,Reflexed Craglily (Echeandia reflexa)
Liliaceae,Texas Craglily (Echeandia texensis)
Liliaceae,Endymion hispanicus
Liliaceae,Endymion nonscripta
Liliaceae,Lonely Lily (Eremocrinum albomarginatum)
Liliaceae,Eremocrinum (Eremocrinum M.E.)
Liliaceae,White Fawnlily (Erythronium albidum)
Liliaceae,Erythronium albidum
Liliaceae,Dogtooth Violet (Erythronium americanum)
Liliaceae,Erythronium americanum
Liliaceae,California Fawnlily (Erythronium californicum)
Liliaceae,Cream Fawnlily (Erythronium citrinum)
Liliaceae,Roderick's Fawnlily (Erythronium citrinum)
Liliaceae,Coast Range Fawnlily (Erythronium elegans)
Liliaceae,Erythronium giganteum
Liliaceae,Yellow Avalanche-lily (Erythronium grandiflorum)
Liliaceae,Erythronium grandiflorum
Liliaceae,Pacific Fawnlily (Erythronium helenae)
Liliaceae,Henderson's Fawnlily (Erythronium hendersonii)
Liliaceae,Howell's Fawnlily (Erythronium howellii)
Liliaceae,Erythronium idahoense
Liliaceae,Klamath Fawnlily (Erythronium klamathense)
Liliaceae,Fawnlily (Erythronium L.)
Liliaceae,Midland Fawnlily (Erythronium mesochoreum)
Liliaceae,White Avalanche-lily (Erythronium montanum)
Liliaceae,Sierra Fawnlily (Erythronium multiscapoideum)
Liliaceae,Giant White Fawnlily (Erythronium oregonum)
Liliaceae,Erythronium parviflorum
Liliaceae,Manyflower Fawnlily (Erythronium pluriflorum)
Liliaceae,Minnesota Fawnlily (Erythronium propullans)
Liliaceae,Purple Fawnlily (Erythronium purpurascens)
Liliaceae,Kaweah Lakes Fawnlily (Erythronium pusaterii)
Liliaceae,Erythronium quinaultense
Liliaceae,Mahogany Fawnlily (Erythronium revolutum)
